#source_X source_Y lens_X lens_Y separation f1_ratio chi^2
896.627441 822.577942 890.052429 824.578613 68.314247131347656 0.854913592 784.98681110002758
896.588196 822.582825 890.171021 824.427490 66.369819641113281 0.861157119 788.27016946650690
896.618042 822.619019 890.031189 824.438477 67.925231933593750 0.848814726 784.90743461447630
896.641174 822.590088 889.915527 824.548096 69.628341674804688 0.859165490 786.22414463416476
896.578796 822.586914 890.103760 824.472229 67.034606933593750 0.855680764 786.75029795764522
896.622070 822.625305 890.286316 824.397766 65.395378112792969 0.852705359 783.56694399668925
896.667053 822.577942 890.249939 824.503845 66.596855163574219 0.852197111 785.71760234090198
896.613525 822.593079 890.217651 824.357300 65.949241638183594 0.862668335 788.62458081083116
896.606750 822.642761 890.021057 824.162415 67.181968688964844 0.852721035 786.29472262496722
896.604065 822.650818 890.038818 824.298096 67.281379699707031 0.857869446 785.03665347539732
896.606567 822.624451 889.904907 824.460449 69.069152832031250 0.862260759 784.39118852380375
896.634888 822.559326 890.076538 824.593323 68.253204345703125 0.856906474 788.58729416039318
896.585022 822.573792 889.885864 824.433838 69.108726501464844 0.855843067 788.25734574507248
896.652161 822.632874 889.881348 824.500427 69.815086364746094 0.857497156 786.69113607840995
896.618164 822.593079 890.080811 824.492554 67.668693542480469 0.849202156 784.52827862159040
896.618774 822.574646 890.160034 824.352966 66.588912963867188 0.848639309 784.54644318534031
896.653992 822.648865 890.128113 824.349670 67.034103393554688 0.854055405 783.82692648953105
896.633240 822.599976 890.032166 824.246338 67.624649047851562 0.859280944 783.88005223718267
896.649597 822.606018 890.199524 824.055298 65.712234497070312 0.849364996 784.28897973112646
896.636719 822.616394 890.294800 824.164673 64.890083312988281 0.851337850 782.49274936833274
896.673950 822.619263 890.110840 824.335327 67.430496215820312 0.858110428 786.36168244150383
896.599487 822.618164 890.124207 824.330872 66.577690124511719 0.863221645 786.90882812876748
896.617676 822.588684 890.242249 824.364380 65.783851623535156 0.861605048 788.26610817845949
896.646851 822.627563 890.098633 824.302551 67.184936523437500 0.857863724 782.83304710537232
896.599365 822.631409 889.946167 824.312134 68.210334777832031 0.858994186 783.73248569307577
896.628662 822.611389 890.074341 824.486023 67.762351989746094 0.859957635 783.73317210558639
